,rank,artistsong,year,artist,song_title
0,1,glennmiller/chattanoogachoochoo.html,1941,Glenn Miller,Chattanooga Choo Choo
1,2,sammykaye/daddy.html,1941,Sammy Kaye,Daddy
2,3,artieshaw/stardust.html,1941,Artie Shaw,Stardust
3,4,theandrewssisters/boogiewoogiebugleboy.html,1941,The Andrews Sisters,Boogie Woogie Bugle Boy
4,5,jimmydorsey/amapolaprettylittlepoppy.html,1941,Jimmy Dorsey,Amapola (Pretty Little Poppy)
5,6,jimmydorsey/greeneyes.html,1941,Jimmy Dorsey,Green Eyes
6,7,glennmiller/elmerstune.html,1941,Glenn Miller,Elmer’s Tune
7,8,dukeellington/taketheatrain.html,1941,Duke Ellington,Take The ‘A’ Train
8,9,billieholiday/godblessthechild.html,1941,Billie Holiday,God Bless the Child
9,10,jimmydorsey/mariaelena.html,1941,Jimmy Dorsey,Maria Elena
10,11,horaceheidt/idontwanttosettheworldonfire.html,1941,Horace Heidt,I Don’t Want to Set the World On Fire
11,12,freddymartin/pianoconcertoinbflat.html,1941,Freddy Martin,Piano Concerto in B Flat
12,13,theinkspots/idontwanttosettheworldonfire.html,1941,The Ink Spots,I Don’t Want to Set the World On Fire
13,14,jimmydorsey/bluechampagne.html,1941,Jimmy Dorsey,Blue Champagne
14,15,glennmiller/songofthevolgaboatmen.html,1941,Glenn Miller,Song of the Volga Boatmen
15,16,jimmydorsey/mysister&i.html,1941,Jimmy Dorsey,My Sister & I
16,17,harryjames/youmademeloveyou.html,1941,Harry James,You Made Me Love You
17,18,tommydorsey&franksinatra/dolores.html,1941,Tommy Dorsey & Frank Sinatra,Dolores
18,19,glennmiller/you&i.html,1941,Glenn Miller,You & I
19,20,bennygoodman/therellbesomechangesmade.html,1941,Benny Goodman,There’ll Be Some Changes Made
20,21,thesonsofthepioneers/coolwater.html,1941,The Sons of the Pioneers,Cool Water
21,22,xaviercugat/perfidiatonight.html,1941,Xavier Cugat,Perfidia (Tonight)
22,23,jimmydorsey/iheararhapsody.html,1941,Jimmy Dorsey,I Hear A Rhapsody
23,24,guylombardo/andthebandplayedon.html,1941,Guy Lombardo,And the Band Played On
24,25,veralynn/anightingalesanginberkeleysquare.html,1941,Vera Lynn,A Nightingale Sang in Berkeley Square
25,26,dickrobertson/ferryboatserenade.html,1941,Dick Robertson,Ferryboat Serenade
26,27,thejesters/itsagreatdayfortheirish.html,1941,The Jesters,It’s a Great Day for the Irish
27,28,thetic-tocrhythmorchestra/ferryboatserenade.html,1941,The Tic-Toc Rhythm Orchestra,Ferryboat Serenade
28,29,judygarland/itsagreatdayfortheirish.html,1941,Judy Garland,It’s a Great Day for the Irish
29,30,franciscoalves/cantabrasil.html,1941,Francisco Alves,Canta Brasil
30,31,georgeformby/blessemalltheservicesong.html,1941,George Formby,Bless ’em All (The Service Song)
31,32,albowlly/whenthatmanisdead&gone.html,1941,Al Bowlly,When That Man is Dead & Gone
32,33,ernesttubb/walkingtheflooroveryou.html,1941,Ernest Tubb,Walking the Floor Over You
33,34,glennmiller/anvilchorus.html,1941,Glenn Miller,Anvil Chorus
34,35,glennmiller/idreamtidweltinharlem.html,1941,Glenn Miller,I Dreamt I Dwelt In Harlem
35,36,theandrewssisters/illbewithyouinappleblossomtime.html,1941,The Andrews Sisters,I’ll Be With You in Apple Blossom Time
36,37,charliebarnet/iheararhapsody.html,1941,Charlie Barnet,I Hear A Rhapsody
37,38,bingcrosby/dolores.html,1941,Bing Crosby,Dolores
38,39,artieshaw/dancinginthedark.html,1941,Artie Shaw,Dancing in the Dark
39,40,artieshaw/summitridgedrive.html,1941,Artie Shaw,Summit Ridge Drive
40,41,wayneking/youaremysunshine.html,1941,Wayne King,You Are My Sunshine
41,42,tommydorsey&franksinatra/thisloveofmine.html,1941,Tommy Dorsey & Frank Sinatra,This Love of Mine
42,43,jimmydorsey/highonawindyhill.html,1941,Jimmy Dorsey,High On A Windy Hill
43,44,joelossorchestra/vstandsforvictory.html,1941,Joe Loss Orchestra,‘V’ Stands For Victory
44,45,carlosgalhardo/alalila.html,1941,Carlos Galhardo,Ala Li La
45,46,tommydorsey/yesindeed.html,1941,Tommy Dorsey,Yes Indeed
46,47,bigmaceomerriweather/worriedlifeblues.html,1941,Big Maceo Merriweather,Worried Life Blues
47,48,genekrupa/highonawindyhill.html,1941,Gene Krupa,High On A Windy Hill
48,49,jimmydorsey/yours.html,1941,Jimmy Dorsey,Yours
49,50,wayneking/mariaelena.html,1941,Wayne King,Maria Elena
50,51,horaceheidt/gbyenow.html,1941,Horace Heidt,G’bye Now
51,52,freddymartin/thehutsutsongaswedishserenade.html,1941,Freddy Martin,The Hut Sut Song (A Swedish Serenade)
52,53,tommydorsey&franksinatra/ohlookatmenow.html,1941,Tommy Dorsey & Frank Sinatra,Oh Look At Me Now
53,54,genekrupa/itallcomesbacktomenow.html,1941,Gene Krupa,It All Comes Back To Me Now
54,55,bingcrosby/shepherdsserenade.html,1941,Bing Crosby,Shepherd’s Serenade
55,56,tommydorsey/letsgetawayfromitall.html,1941,Tommy Dorsey,Let’s Get Away From It All
56,57,genekrupa/letmeoffuptown.html,1941,Gene Krupa,Let me off uptown
57,58,washboardsam/shebelongstothedevil.html,1941,Washboard Sam,She Belongs to The Devil
58,59,dorivalcaymmi/omar.html,1941,Dorival Caymmi,O Mar
59,60,glennmiller/adios.html,1941,Glenn Miller,Adios
60,61,tommydorsey&franksinatra/twoinlove.html,1941,Tommy Dorsey & Frank Sinatra,Two in Love
61,62,jimmydorsey/jim.html,1941,Jimmy Dorsey,Jim
62,63,harryjames/bythesleepylagoon.html,1941,Harry James,By the Sleepy Lagoon
63,64,raynoble/bythelightofthesilverymoon.html,1941,Ray Noble,By the Light of the Silvery Moon
64,65,horaceheidt/thehutsutsongaswedishserenade.html,1941,Horace Heidt,The Hut Sut Song (A Swedish Serenade)
65,66,"kaykyser/alexandertheswoosehalfswan,halfgoose.html",1941,Kay Kyser,"Alexander the Swoose (Half Swan, Half Goose)"
66,67,xaviercugat/greeneyes.html,1941,Xavier Cugat,Green Eyes
67,68,"xaviercugat/chica,chica,boom,chic.html",1941,Xavier Cugat,"Chica, Chica, Boom, Chic"
68,69,joel&gaucho/aurora.html,1941,Joel & Gaucho,Aurora
69,70,jaymcshann/vinestreetblues.html,1941,Jay McShann,Vine Street Blues
70,71,glennmiller/iknowwhy.html,1941,Glenn Miller,I Know Why
71,72,tommydorsey/doiworry.html,1941,Tommy Dorsey,Do I Worry?
72,73,theandrewssisters/bouncemebrother.html,1941,The Andrews Sisters,Bounce Me Brother
73,74,harryjames/youmademeloveyouididntwanttodoit.html,1941,Harry James,You Made Me Love You (I Didn’t Want to Do It)
74,75,pedrovargas/besamemucho.html,1941,Pedro Vargas,Besame Mucho
75,76,kaykyser/lightsouttilreveille.html,1941,Kay Kyser,(Lights Out) Til Reveille
76,77,tonymartin/thelasttimeisawparis.html,1941,Tony Martin,The Last Time I Saw Paris
77,78,tommytucker/idontwanttosettheworldonfire.html,1941,Tommy Tucker,I Don’t Want to Set the World On Fire
78,79,guylombardo/intermezzosouvenirdevienne.html,1941,Guy Lombardo,Intermezzo (Souvenir De Vienne)
79,80,anjosdoinferno/vocejafoiabahia.html,1941,Anjos do Inferno,Voce Ja Foi a Bahia?
80,1,theandrewssisters/rum&coca-cola.html,1945,The Andrews Sisters,Rum & Coca-Cola
81,2,lesbrown/sentimentaljourney.html,1945,Les Brown,Sentimental Journey
82,3,perrycomo/tilltheendoftime.html,1945,Perry Como,Till The End of Time
83,4,lesbrown/mydreamsaregettingbetterallthetime.html,1945,Les Brown,My Dreams Are Getting Better All the Time
84,5,"johnnymercer/ontheatchison,topeka&thesantafe.html",1945,Johnny Mercer,"On the Atchison, Topeka & the Santa Fe"
85,6,"harryjames/itsbeenalong,longtime.html",1945,Harry James,"It’s Been a Long, Long Time"
86,7,bingcrosby/icantbegintotellyou.html,1945,Bing Crosby,I Can’t Begin to Tell You
87,8,johnnymercer/ac-cent-tchu-atethepositive.html,1945,Johnny Mercer,Ac-cent-tchu-ate the Positive
88,9,sammykaye/chickerychick.html,1945,Sammy Kaye,Chickery Chick
89,10,vaughnmonroe/thereivesaiditagain.html,1945,Vaughn Monroe,There! I’ve Said it Again
90,11,johnnymercer&joestafford/candy.html,1945,Johnny Mercer & Joe Stafford,Candy
91,12,dukeellington/imbeginningtoseethelight.html,1945,Duke Ellington,I’m Beginning to See The Light
92,13,"judygarland/ontheatchison,topeka&thesantafe.html",1945,Judy Garland,"On the Atchison, Topeka & the Santa Fe"
93,14,ellafitzgerald&theinkspots/imbeginningtoseethelight.html,1945,Ella Fitzgerald & The Ink Spots,I’m Beginning to See The Light
94,15,"bingcrosby&lespaul/itsbeenalong,longtime.html",1945,Bing Crosby & Les Paul,"It’s Been a Long, Long Time"
95,16,"franksinatra/nancy,withthelaughingface.html",1945,Frank Sinatra,"Nancy, With The Laughing Face"
96,17,louisjordan/caledonia.html,1945,Louis Jordan,Caledonia
97,18,harryjames/imbeginningtoseethelight.html,1945,Harry James,I’m Beginning to See The Light
98,19,bingcrosby&theandrewssisters/ac-cent-tchu-atethepositive.html,1945,Bing Crosby & The Andrews Sisters,Ac-cent-tchu-ate the Positive
99,20,thepiedpipers/dream.html,1945,The Pied Pipers,Dream
100,21,"bingcrosby/ontheatchison,topeka&thesantafe.html",1945,Bing Crosby,"On the Atchison, Topeka & the Santa Fe"
101,22,spikejones/cocktailsfortwo.html,1945,Spike Jones,Cocktails For Two
102,23,"billieholiday/lovermanoh,wherecanyoube.html",1945,Billie Holiday,"Lover Man (Oh, Where Can You Be?)"
103,24,bingcrosby/afriendofyours.html,1945,Bing Crosby,A Friend of Yours
104,25,franksinatra/afriendofyours.html,1945,Frank Sinatra,A Friend of Yours
105,26,woodyherman/laura.html,1945,Woody Herman,Laura
106,27,dickhaymes/itmightaswellbespring.html,1945,Dick Haymes,It Might as Well Be Spring
107,28,helenforrest&dickhaymes/illbuythatdream.html,1945,Helen Forrest & Dick Haymes,I’ll Buy That Dream
108,29,perrycomo/ifilovedyou.html,1945,Perry Como,If I Loved You
109,30,tommydorsey/opusone.html,1945,Tommy Dorsey,Opus One
110,31,nelsongoncalves/mariabethania.html,1945,Nelson Goncalves,Maria Bethania
111,32,"bingcrosby/amor,amor.html",1945,Bing Crosby,"Amor, Amor"
112,33,louisprima/angelina.html,1945,Louis Prima,Angelina
113,34,bennygoodman/gottabethisorthat.html,1945,Benny Goodman,Gotta Be This Or That
114,35,bigmaceomerriweather/chicagobreakdown.html,1945,Big Maceo Merriweather,Chicago Breakdown
115,36,franksinatra/tryalittletenderness.html,1945,Frank Sinatra,Try a Little Tenderness
116,37,dickhaymes/loveletters.html,1945,Dick Haymes,Love Letters
117,38,dizzygillespie/groovinhigh.html,1945,Dizzy Gillespie,Groovin’ High
118,39,perrycomo/imgonnalovethatgal.html,1945,Perry Como,I’m Gonna Love That Gal
119,40,bingcrosby/youbelongtomyheart.html,1945,Bing Crosby,You Belong To My Heart
120,41,franksinatra/dreamwhenyourefeelingblue.html,1945,Frank Sinatra,Dream (When You’re Feeling Blue)
121,42,louisprima/bellbottomtrousers.html,1945,Louis Prima,Bell Bottom Trousers
122,43,dickhaymes/laura.html,1945,Dick Haymes,Laura
123,44,luckymillinder/whothrewthewhiskeyinthewell.html,1945,Lucky Millinder,Who Threw the Whiskey in the Well
124,45,dorivalcaymmi/pegueiumitanonorte.html,1945,Dorival Caymmi,Peguei Um Ita no Norte
125,46,stankenton/tampico.html,1945,Stan Kenton,Tampico
126,47,franksinatra/saturdaynightistheloneliestnight.html,1945,Frank Sinatra,Saturday Night (Is the Loneliest Night)
127,48,russmorgan/theregoesthatsongagain.html,1945,Russ Morgan,There Goes That Song Again
128,49,charlieparker/billiesbounce.html,1945,Charlie Parker,Billie’s Bounce
129,50,dickthomas/siouxcitysue.html,1945,Dick Thomas,Sioux City Sue
130,51,frankiecarle/alittleonthelonelyside.html,1945,Frankie Carle,A Little On The Lonely Side
